0,1.0
1,5.0
2,12.540666580200195
3,24.387332916259766
4,40.339332580566406
5,60.92566680908203
6,86.27200317382812
7,116.13733673095703
8,147.87066650390625
9,183.96966552734375
10,220.1106719970703
11,263.7619934082031
12,312.4083251953125
13,355.6990051269531
14,407.5473327636719
15,446.7336730957031
16,491.9156799316406
17,534.3270263671875
18,570.3733520507812
19,605.7639770507812
20,635.4976806640625
21,659.0853271484375
23,699.058349609375
25,726.1666870117188
28,745.5413208007812
30,748.8406372070312
36,750.0
